sede;facultad;programa_estudio;modalidad_estudio;curso;ciclo;grupo;creditos;horas_teoricas;horas_practicas;sumilla;unidad;titulo_unidad;ra_unitario;sesion;ra_sesion;aprendizaje_autonomo;referencias_bibliograficas;enlaces_internet
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad I;Introducción al problema central de Fundamentos de Programación;Desarrolla competencias de la Unidad I aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 11;Modela un problema contextualizado relacionado con fundamentos de programación en la sesión 11 de la Unidad I, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 11 y registra reflexión breve sobre servicio, integridad y mejora continua.;Stallings W. Data and Computer Communications. Pearson 2017;https://www.oracle.com/database/technologies
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad I;Principios y criterios iniciales de Fundamentos de Programación;Desarrolla competencias de la Unidad I aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 12;Propone una evidencia de aprendizaje relacionado con fundamentos de programación en la sesión 12 de la Unidad I, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 12 y registra reflexión breve sobre servicio, integridad y mejora continua.;Russell S. Artificial Intelligence A Modern Approach. Pearson 2021;https://www.iso.org/isoiec-27001-information-security.html
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad I;Fundamentos conceptuales de Fundamentos de Programación;Desarrolla competencias de la Unidad I aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 13;Integra un escenario institucional relacionado con fundamentos de programación en la sesión 13 de la Unidad I, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 13 y registra reflexión breve sobre servicio, integridad y mejora continua.;Kimball R. The Data Warehouse Toolkit. Wiley 2013;https://scikit-learn.org/stable
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad I;Marco disciplinar aplicado de Fundamentos de Programación;Desarrolla competencias de la Unidad I aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 14;Calcula una práctica guiada relacionado con fundamentos de programación en la sesión 14 de la Unidad I, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 14 y registra reflexión breve sobre servicio, integridad y mejora continua.;Pressman R. Ingeniería del software. McGraw Hill 2021;https://docs.python.org/es/3
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad I;Bases del desempeño profesional de Fundamentos de Programación;Desarrolla competencias de la Unidad I aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 15;Diagnostica un recurso técnico relacionado con fundamentos de programación en la sesión 15 de la Unidad I, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 15 y registra reflexión breve sobre servicio, integridad y mejora continua.;Elmasri R. Fundamentals of Database Systems. Pearson 2020;https://www.postgresql.org/docs
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad I;Introducción al problema central de Fundamentos de Programación;Desarrolla competencias de la Unidad I aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 16;Planifica un informe breve relacionado con fundamentos de programación en la sesión 16 de la Unidad I, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 16 y registra reflexión breve sobre servicio, integridad y mejora continua.;Stallings W. Data and Computer Communications. Pearson 2017;https://www.oracle.com/database/technologies
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad I;Principios y criterios iniciales de Fundamentos de Programación;Desarrolla competencias de la Unidad I aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 17;Configura una decisión profesional relacionado con fundamentos de programación en la sesión 17 de la Unidad I, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 17 y registra reflexión breve sobre servicio, integridad y mejora continua.;Russell S. Artificial Intelligence A Modern Approach. Pearson 2021;https://www.iso.org/isoiec-27001-information-security.html
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad I;Fundamentos conceptuales de Fundamentos de Programación;Desarrolla competencias de la Unidad I aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 18;Sustenta una simulación académica relacionado con fundamentos de programación en la sesión 18 de la Unidad I, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 18 y registra reflexión breve sobre servicio, integridad y mejora continua.;Kimball R. The Data Warehouse Toolkit. Wiley 2013;https://scikit-learn.org/stable
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad I;Marco disciplinar aplicado de Fundamentos de Programación;Desarrolla competencias de la Unidad I aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 19;Analiza un caso aplicado relacionado con fundamentos de programación en la sesión 19 de la Unidad I, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 19 y registra reflexión breve sobre servicio, integridad y mejora continua.;Pressman R. Ingeniería del software. McGraw Hill 2021;https://docs.python.org/es/3
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad I;Bases del desempeño profesional de Fundamentos de Programación;Desarrolla competencias de la Unidad I aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 20;Diseña un procedimiento clave relacionado con fundamentos de programación en la sesión 20 de la Unidad I, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 20 y registra reflexión breve sobre servicio, integridad y mejora continua.;Elmasri R. Fundamentals of Database Systems. Pearson 2020;https://www.postgresql.org/docs
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad II;Instrumentos de trabajo académico de Fundamentos de Programación;Desarrolla competencias de la Unidad II aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 1;Implementa una evidencia de aprendizaje relacionado con fundamentos de programación en la sesión 1 de la Unidad II, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 21 y registra reflexión breve sobre servicio, integridad y mejora continua.;Stallings W. Data and Computer Communications. Pearson 2017;https://www.iso.org/isoiec-27001-information-security.html
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad II;Métodos y herramientas esenciales de Fundamentos de Programación;Desarrolla competencias de la Unidad II aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 2;Evalúa un escenario institucional relacionado con fundamentos de programación en la sesión 2 de la Unidad II, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 22 y registra reflexión breve sobre servicio, integridad y mejora continua.;Russell S. Artificial Intelligence A Modern Approach. Pearson 2021;https://scikit-learn.org/stable
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad II;Procesos técnicos de la disciplina de Fundamentos de Programación;Desarrolla competencias de la Unidad II aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 3;Interpreta una práctica guiada relacionado con fundamentos de programación en la sesión 3 de la Unidad II, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 23 y registra reflexión breve sobre servicio, integridad y mejora continua.;Kimball R. The Data Warehouse Toolkit. Wiley 2013;https://docs.python.org/es/3
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad II;Aplicación procedimental guiada de Fundamentos de Programación;Desarrolla competencias de la Unidad II aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 4;Construye un recurso técnico relacionado con fundamentos de programación en la sesión 4 de la Unidad II, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 24 y registra reflexión breve sobre servicio, integridad y mejora continua.;Pressman R. Ingeniería del software. McGraw Hill 2021;https://www.postgresql.org/docs
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad II;Modelos de análisis y decisión de Fundamentos de Programación;Desarrolla competencias de la Unidad II aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 5;Valida un informe breve relacionado con fundamentos de programación en la sesión 5 de la Unidad II, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 25 y registra reflexión breve sobre servicio, integridad y mejora continua.;Elmasri R. Fundamentals of Database Systems. Pearson 2020;https://www.oracle.com/database/technologies
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad II;Instrumentos de trabajo académico de Fundamentos de Programación;Desarrolla competencias de la Unidad II aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 6;Compara una decisión profesional relacionado con fundamentos de programación en la sesión 6 de la Unidad II, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 26 y registra reflexión breve sobre servicio, integridad y mejora continua.;Stallings W. Data and Computer Communications. Pearson 2017;https://www.iso.org/isoiec-27001-information-security.html
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad II;Métodos y herramientas esenciales de Fundamentos de Programación;Desarrolla competencias de la Unidad II aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 7;Documenta una simulación académica relacionado con fundamentos de programación en la sesión 7 de la Unidad II, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 27 y registra reflexión breve sobre servicio, integridad y mejora continua.;Russell S. Artificial Intelligence A Modern Approach. Pearson 2021;https://scikit-learn.org/stable
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad II;Procesos técnicos de la disciplina de Fundamentos de Programación;Desarrolla competencias de la Unidad II aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 8;Resuelve un caso aplicado relacionado con fundamentos de programación en la sesión 8 de la Unidad II, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 28 y registra reflexión breve sobre servicio, integridad y mejora continua.;Kimball R. The Data Warehouse Toolkit. Wiley 2013;https://docs.python.org/es/3
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad II;Aplicación procedimental guiada de Fundamentos de Programación;Desarrolla competencias de la Unidad II aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 9;Clasifica un procedimiento clave relacionado con fundamentos de programación en la sesión 9 de la Unidad II, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 29 y registra reflexión breve sobre servicio, integridad y mejora continua.;Pressman R. Ingeniería del software. McGraw Hill 2021;https://www.postgresql.org/docs
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad II;Modelos de análisis y decisión de Fundamentos de Programación;Desarrolla competencias de la Unidad II aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 10;Prioriza un problema contextualizado relacionado con fundamentos de programación en la sesión 10 de la Unidad II, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 30 y registra reflexión breve sobre servicio, integridad y mejora continua.;Elmasri R. Fundamentals of Database Systems. Pearson 2020;https://www.oracle.com/database/technologies
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad II;Instrumentos de trabajo académico de Fundamentos de Programación;Desarrolla competencias de la Unidad II aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 11;Modela una evidencia de aprendizaje relacionado con fundamentos de programación en la sesión 11 de la Unidad II, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 31 y registra reflexión breve sobre servicio, integridad y mejora continua.;Stallings W. Data and Computer Communications. Pearson 2017;https://www.iso.org/isoiec-27001-information-security.html
